EvtUniqueID,OptionID,LocalCode,ExDT,OutturnStyleCD,PaytypeCD,RatioOld,RatioNew,RateValue01,DefaultOptionFlag,SourceFile
401710006605,1,BBLG,2023/12/20,NEWO,S,8,1,0.001,T,data/2023-12/e2020_20231218_LST_EVT_3.txt
400738889,1,DMHLF,,ADEX,S,5,1,0,T,data/2023-12/e2020_20231218_LST_EVT_2.txt
40179926699,1,DECPF,2023/12/05,NEWO,S,20,1,0.01,T,data/2023-12/e2020_20231218_LST_EVT_2.txt
40179521492,1,CGC,2023/12/20,NEWO,S,10,1,0,T,data/2023-12/e2020_20231214_LST_EVT_3.txt
40179824176,1,GNTLF,2023/12/14,NEWO,S,100,1,0,T,data/2023-12/e2020_20231214_LST_EVT_3.txt
40179997534,1,VRAX,2023/12/18,NEWO,S,10,1,0.0001,T,data/2023-12/e2020_20231214_LST_EVT_3.txt
202010272793791,2,ARSSF,2023/12/07,ADEX,S,53.58536,1,0,F,data/2023-12/e2020_20231214_LST_EVT_3.txt
40179521492,1,CGC,2023/12/20,NEWO,S,10,1,0,T,data/2023-12/e2020_20231219_LST_EVT_0.txt
202010273249508,2,NRWRF,2023/12/07,ADEX,S,24.16176,1,0,F,data/2023-12/e2020_20231214_LST_EVT_3.txt
40179895403,1,MSLVF,,NEWO,S,10,1,0,T,data/2023-12/e2020_20231219_LST_EVT_0.txt
40179926699,1,DEC,2023/12/05,NEWO,S,20,1,0.01,T,data/2023-12/e2020_20231218_LST_EVT_2.txt
40179999499,1,NLTX,2023/12/19,NEWO,S,4,1,0.000001,T,data/2023-12/e2020_20231218_LST_EVT_2.txt
401710002360,1,CUAUF,2023/12/19,NEWO,S,13,1,0,T,data/2023-12/e2020_20231218_LST_EVT_2.txt
401710002413,1,UNPRF,2023/12/18,NEWO,S,20,1,0,T,data/2023-12/e2020_20231218_LST_EVT_2.txt
40179349715,1,WSKEF,2023/06/30,NEWO,S,50,1,0.05,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
40179538587,1,XTCPD,2023/12/05,NEWO,S,200,1,0,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
40179730887,1,ENCTF,2023/09/29,NEWO,S,5,1,0,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
40179977780,1,CYTO,2023/12/13,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
